id,source_file,source_sha256,review_reference,output_file,output_sha256,output_dimensions,style,caption
U01,20250817_194352.jpg,c075f9952153b4fedc1db6a8fd85a219a479d967013d81be44905f2dadee1b0f,20250817_194352-preview.jpg,demo-u01-wires-split-postcard.png,0d2da4ca9fcfd0421791d0065ed9044e11df471384ccd9428fc6ebe9d5458f55,1536x1024,split writable postcard,"THE WIRES HELD THE LAST LIGHT."
U02,20250916_192311.jpg,b547042e46b875009d22dfd6a179d5049369810972048cfae95fe9e380a74ba0,20250916_192311-preview.jpg,demo-u02-sea-full-bleed.png,3f0d613c9de6708fbb321d6efaa1502ceb506245362ad0b910282646cadc433a,1536x1024,full-bleed photo postcard,"THE SEA KEPT THE COLOR."
U03,20250916_193430.jpg,b6c6ae49aa2d247b4f2754613faf01ffb7e7c0e4b76f4ae96e898a7b47639f48,20250916_193430-preview.jpg,demo-u03-evening-triptych.png,4612c4e028227c0fd88e0fc5237b601dc9de77aefba49c79eb9ed836e919faab,1536x1024,archival triptych,"EVENING, LAYER BY LAYER."
U04,20250925_192842.jpg,f1eb862b8929733eadd0f55e92e4319261fa7cdf7044d4136319006c18349896,20250925_192842-preview.jpg,demo-u04-small-moon-risograph.png,29309f290bdc90b64b6b26c8c91eb1b569ae384720b7e5c34c90ae057ec0d045,1024x1536,two-color risograph,"A SMALL MOON, ENOUGH."
U05,20250927_174531.jpg,8d84f38578fd69df887aa80a7c2c1218ee1e92531aac1a9eb176725fd8cfe523,20250927_174531-preview.jpg,demo-u05-green-field-note.png,6983aacaa6458fa525f738762b0e1b5ac11895f1361e657b8c79c407fd05df74,1536x1024,botanical field note,"GREEN HAS MANY DISTANCES."
U06,20250927_175045.jpg,2fb47bc2b43a3b84b32337cf367b9b5bac66ac60aa50febd6e1f9ce3e2e9136e,20250927_175045-preview.jpg,demo-u06-blue-house-collage.png,25ec486ff79fa8ba87725d2a254b67d2ddddbd3297cded082d002346e514b735,1024x1536,architectural paper collage,"THE BLUE HOUSE BELOW."
U07,20250927_182437.jpg,9d32eb3ebbfcb5775603db92f1f89ed9a962ff4e4ca1ccf8bece2f4d67a7706f,20250927_182437-preview.jpg,demo-u07-weather-swiss.png,3be00472d8fe37d499819e63b443bff56dd0abcd0563509f67580326b4d8c22e,1024x1536,Swiss editorial poster,"WEATHER BUILDS A CATHEDRAL."
U08,20250927_182447.jpg,4d9ffe98906ac15b07da95f83103651e24aa898af366cca10142337f110612b5,20250927_182447-preview.jpg,demo-u08-cloud-cyanotype.png,2436d808a5c7b9cb4466440fff26df5594521f37f7ed9e3a22e9eb310fb5780f,1024x1536,cyanotype artist page,"UPWARD, WITHOUT HURRY."
U09,20250927_190614.jpg,2d998a3f6457a241591474b496e7a899fbcf459e694fb582fb9b33ab08704fcd,20250927_190614-preview.jpg,demo-u09-cloud-vintage-duotone.png,d33a06f8b42bed740fc1e0e7f4ebc1b45b6b57132a7d9ac42bffcc92da3ab53c,1536x1024,vintage offset duotone,"THE CLOUD KEPT THE FIRE."
U10,20250817_194352.jpg,c075f9952153b4fedc1db6a8fd85a219a479d967013d81be44905f2dadee1b0f,20250817_194352-preview.jpg,demo-u10-wires-newsprint.png,ba910f42775b162b97a01691f4b22dc2d183b191ef89f89c5d7e1fa0f344d058,1536x1024,documentary newsprint,"DUSK FOUND THE GRID."
U11,20250817_194352.jpg,c075f9952153b4fedc1db6a8fd85a219a479d967013d81be44905f2dadee1b0f,20250817_194352-preview.jpg,demo-u11-wires-geometric.png,6b5968a0258014ee674da0bd730dd61c115ec2437ed3538628d7eabd776eb6f0,1536x1024,geometric photo collage,"LINES CROSSING THE EVENING."
U12,20250916_192311.jpg,b547042e46b875009d22dfd6a179d5049369810972048cfae95fe9e380a74ba0,20250916_192311-preview.jpg,demo-u12-sea-watercolor.png,658d207d897d23df8b0d9231a09a279fe0714dae3661ac112a2d5b25e713acfa,1536x1024,watercolor travel diary,"THE HORIZON KEPT OPENING."
U13,20250916_192311.jpg,b547042e46b875009d22dfd6a179d5049369810972048cfae95fe9e380a74ba0,20250916_192311-preview.jpg,demo-u13-sea-darkroom.png,60e9862a0ca86d6b762ef72754a9d7c970cbe8cb3fa60a9c3b75328e356e5bbd,1536x1024,analog darkroom contact print,"LAST LIGHT ACROSS THE WATER."
U14,20250916_193430.jpg,b6c6ae49aa2d247b4f2754613faf01ffb7e7c0e4b76f4ae96e898a7b47639f48,20250916_193430-preview.jpg,demo-u14-evening-strips.png,895eaf687abb5517235a80e6143c312a17277d7726d85332606546b60b453f50,1536x1024,accordion strip study,"THE SKY ARRIVED IN BANDS."
U15,20250916_193430.jpg,b6c6ae49aa2d247b4f2754613faf01ffb7e7c0e4b76f4ae96e898a7b47639f48,20250916_193430-preview.jpg,demo-u15-evening-monoprint.png,9d81ce0cc8f799c0f02557ec28ff7d7349c5cf5b95ab1310576f72b035a25a59,1536x1024,reduction monoprint,"A THIN FIRE AT THE EDGE."
U16,20250925_192842.jpg,f1eb862b8929733eadd0f55e92e4319261fa7cdf7044d4136319006c18349896,20250925_192842-preview.jpg,demo-u16-moon-silver-gelatin.png,456aab10f8bafd2b7afb4e28fdeb28b1508f268939a7c9e97639fcc25fbac927,1024x1536,silver-gelatin nocturne,"THE NIGHT HELD ONE CURVE."
U17,20250925_192842.jpg,f1eb862b8929733eadd0f55e92e4319261fa7cdf7044d4136319006c18349896,20250925_192842-preview.jpg,demo-u17-moon-field-note.png,398bbebf14bd7561d1ee63aa2fd32d704943270333d49f01f192eb7dccc5229b,1024x1536,celestial field note,"MEASURED BY A SLIVER."
U18,20250927_174531.jpg,8d84f38578fd69df887aa80a7c2c1218ee1e92531aac1a9eb176725fd8cfe523,20250927_174531-preview.jpg,demo-u18-garden-jacquard.png,deda71252fc4f27a73ea93f488fef0fff093e55d4b472123a45235095e15cdd4,1536x1024,woven jacquard textile,"THE HILLSIDE WOVE ITSELF."
U19,20250927_174531.jpg,8d84f38578fd69df887aa80a7c2c1218ee1e92531aac1a9eb176725fd8cfe523,20250927_174531-preview.jpg,demo-u19-garden-mapfold.png,b1b4f4c1a863d67f72432c45f43819b40784379139026e2e6975863a48151780,1536x1024,topographic map fold,"PATHS INSIDE THE GREEN."
U20,20250927_175045.jpg,2fb47bc2b43a3b84b32337cf367b9b5bac66ac60aa50febd6e1f9ce3e2e9136e,20250927_175045-preview.jpg,demo-u20-house-blueprint.png,9e2ab04b692fcffdd830a181fb691151b349e136d15af3fe2e9bbfa031e94119,1024x1536,photographic blueprint,"A HOUSE DRAWN IN BLUE."
U21,20250927_175045.jpg,2fb47bc2b43a3b84b32337cf367b9b5bac66ac60aa50febd6e1f9ce3e2e9136e,20250927_175045-preview.jpg,demo-u21-house-colored-pencil.png,0e931154f735b6840fd0215709a601ce140831515c81e6dc6e0f50028ddb0908,1024x1536,colored-pencil diary,"SHELTER UNDER A GREEN HORIZON."
U22,20250927_182437.jpg,9d32eb3ebbfcb5775603db92f1f89ed9a962ff4e4ca1ccf8bece2f4d67a7706f,20250927_182437-preview.jpg,demo-u22-cloud-lithograph.png,36ee772a2897344f3af5ce0a188c8d170c2d703ca8c142d7efb264268ff2a030,1024x1536,monochrome lithographic broadsheet,"A WEATHER FRONT, HELD STILL."
